id;id_administrador;nome;cpf;rg;data_nascimento;cidade;bairro;contato
1;6604;quantify transform Customer;48273;24893;2021-06-22;evolve marca;Prático Chief Division;81090
2;70552;Personal deposit;35805;32813;2021-06-22;Rodovia Casa;Pequeno portal Sharable;89669
3;81470;Markets Travessa;43842;13209;2021-06-22;User-friendly mesh;Organic Acre SSL;34815
4;57791;engage synthesizing;35171;73809;2021-06-22;Creative Pataca 5th;JSON deposit;27791
5;27835;dynamic knowledge;46988;11323;2021-06-21;Forward rosa Research;Crianças compress Market;70685
6;66572;dynamic;32645;19628;2021-06-22;discrete Esportes Metal;Sul Beleza Bacon;44693
7;24661;e-business;91607;48975;2021-06-22;Legacy;Representative JBOD;52840
8;28739;Account Officer;40693;38594;2021-06-21;multi-tasking Virgens Dynamic;IB Esportes SAS;40804
9;84882;monitoring ferrugem;5811;70523;2021-06-22;Sabonete Avon Toalhas;connecting Pequeno;41001
10;77350;panel up Buckinghamshire;21220;72934;2021-06-22;Holandesas;help-desk;60926
