id;id_medico;nome;crm;cpf;rg;especialidade;contato
1;27132;Dynamic;60673;30588;28698;portals Guilder best-of-breed;61722
2;70454;Mesa;41805;61840;96813;monetize;18364
3;5823;high-level Identity implement;98080;1062;58205;Specialist up;77307
4;42756;parse front-end Alameda;13124;70531;2244;ROI deposit;18964
5;44624;card didactic Avon;8941;8387;95396;Amapá generating Madagascar;93592
6;46587;Senior generate Mesa;83908;34721;36665;help-desk;72682
7;88408;Regional SSL Aço;76940;59916;36847;Cambridgeshire bluetooth azul;10014
8;63702;Peixe back-end;39292;57405;58658;Technician Bola Designer;51396
9;40450;Avenida;49070;10312;25539;Investment Marginal;49095
10;25893;Universal Dong Cuban;92071;21751;57584;brand índigo user-facing;36882
