id;id_usuario;nome;cpf;rg;data_nascimento;cidade;bairro;contato
1;4420;bandwidth e-markets;1052;98586;2021-06-22;quantify;connect Metal blockchains;26866
2;49372;morph laranja;16047;75742;2021-06-22;THX intranet Ergonômico;compressing;48798
3;85078;deposit up payment;36152;42823;2021-06-22;Refinado Right-sized;Corporate up;34788
4;92701;collaboration Executive Fuerte;31327;67188;2021-06-22;Bedfordshire hack;Facilitator deposit content;18702
5;58432;Fantástico Paraguai GB;84782;42000;2021-06-22;Versatile;Account;15100
6;10625;cross-platform Cambridgeshire proactive;37600;96719;2021-06-22;Platinum Assurance;Borders;70563
7;5405;responsive Gostoso;75002;22496;2021-06-22;Gostoso Object-based Fundamental;navigating;63583
8;2476;microchip;97539;24179;2021-06-22;Metal Borracha;of Prático;45358
9;82051;Ceará Computador;63639;85822;2021-06-21;laranja Impressionante;card;19857
10;34378;Peso;53033;39901;2021-06-22;Robust;petróleo Grosso;13501
